CODE2,CODE1,CODEBASE,A0A4_CNT,A5A9_CNT,A10A14_CNT,A15A19_CNT,A20A24_CNT,A25A29_CNT,A30A34_CNT,A35A39_CNT,A40A44_CNT,A45A49_CNT,A50A54_CNT,A55A59_CNT,A60A64_CNT,A65A69_CNT,A70A74_CNT,A75A79_CNT,A80A84_CNT,A85A89_CNT,A90A94_CNT,A95A99_CNT,A100UP_5_CNT,INFO_TIME
A6401-01,A6401-01-001,A6401-0002-00,2,3,0,5,11,15,17,10,8,7,15,17,16,10,9,9,2,2,1,0,0,107Y06M
A6401-01,A6401-01-001,A6401-0004-00,0,5,3,13,12,11,20,10,8,11,14,18,22,10,5,4,3,3,0,0,0,107Y06M
A6401-01,A6401-01-002,A6401-0005-00,31,25,33,53,35,32,33,34,58,71,52,40,40,30,12,9,10,2,2,0,0,107Y06M
A6401-01,A6401-01-003,A6401-0006-00,12,5,16,13,28,19,22,22,21,23,25,29,31,11,9,6,2,6,1,0,0,107Y06M
A6401-01,A6401-01-004,A6401-0008-00,1,1,5,3,2,2,6,1,1,5,5,7,4,1,0,4,1,2,1,0,1,107Y06M
A6401-01,A6401-01-004,A6401-0009-00,5,8,7,11,16,18,16,12,16,23,19,18,25,18,11,9,6,0,1,0,0,107Y06M
A6401-01,A6401-01-004,A6401-0012-00,3,2,4,5,9,8,8,7,8,6,11,12,15,13,7,2,4,1,0,0,0,107Y06M
A6401-01,A6401-01-005,A6401-0010-00,4,6,1,5,3,4,12,11,5,6,8,7,18,10,6,8,3,3,0,0,0,107Y06M
A6401-01,A6401-01-005,A6401-0011-00,7,9,9,16,13,13,11,25,26,32,37,44,47,35,25,12,2,6,5,0,0,107Y06M
A6401-01,A6401-01-006,A6401-0014-00,6,8,5,6,17,19,14,14,18,14,17,18,32,15,9,5,9,2,1,0,0,107Y06M
A6401-01,A6401-01-006,A6401-0016-00,2,3,6,5,4,13,12,10,17,11,8,8,12,20,5,7,0,4,0,1,0,107Y06M
A6401-02,A6401-02-001,A6401-0001-00,1,2,2,1,8,4,1,2,1,4,4,5,11,7,2,3,3,1,0,0,0,107Y06M
A6401-02,A6401-02-001,A6401-0003-00,2,1,5,2,6,7,5,7,6,8,8,7,7,5,1,3,4,0,0,0,0,107Y06M
A6401-02,A6401-02-001,A6401-0007-00,1,5,8,7,5,4,4,3,13,11,8,10,12,10,11,2,7,2,1,0,0,107Y06M
A6401-02,A6401-02-002,A6401-0013-00,5,2,4,9,12,13,11,13,11,24,28,15,18,16,9,14,7,2,2,0,0,107Y06M
A6401-02,A6401-02-003,A6401-0019-00,3,1,10,12,15,19,11,5,14,17,21,18,12,9,8,4,4,1,0,0,0,107Y06M
A6401-02,A6401-02-003,A6401-0023-00,1,3,2,6,5,7,5,5,9,7,6,6,11,10,4,2,2,1,0,2,0,107Y06M
A6401-02,A6401-02-004,A6401-0021-00,1,1,0,5,3,3,1,1,1,2,3,1,2,3,0,1,0,1,0,0,0,107Y06M
A6401-02,A6401-02-004,A6401-0026-00,2,6,2,4,4,2,4,8,8,7,7,5,3,6,7,7,1,0,0,0,0,107Y06M
A6401-02,A6401-02-004,A6401-0028-00,8,2,3,4,7,20,22,17,15,16,12,23,22,14,10,7,4,0,2,0,0,107Y06M
A6401-02,A6401-02-005,A6401-0024-00,2,1,0,2,4,7,6,6,3,7,8,2,14,9,2,1,1,2,1,0,0,107Y06M
A6401-02,A6401-02-005,A6401-0029-00,3,2,0,5,8,3,3,14,4,11,20,20,13,22,10,5,4,1,1,0,0,107Y06M
A6401-02,A6401-02-006,A6401-0031-00,6,2,3,4,8,17,17,18,12,14,13,33,21,13,10,12,10,5,1,0,0,107Y06M
A6401-02,A6401-02-007,A6401-0035-00,11,4,3,9,10,19,14,7,10,15,17,13,10,13,10,12,2,1,0,0,0,107Y06M
A6401-02,A6401-02-008,A6401-0033-00,12,2,5,8,9,7,12,12,15,18,22,16,13,17,10,7,4,1,0,0,0,107Y06M
A6401-02,A6401-02-008,A6401-0036-00,5,4,3,4,3,1,5,7,7,5,12,14,10,8,5,2,3,1,1,0,0,107Y06M
A6401-02,A6401-02-009,A6401-0038-00,3,2,10,10,12,16,28,15,18,18,19,28,25,17,15,11,3,3,0,1,0,107Y06M
A6401-02,A6401-02-010,A6401-0040-00,6,5,14,9,21,19,9,22,16,20,30,21,23,29,11,10,5,6,0,1,0,107Y06M
A6401-02,A6401-02-010,A6401-0043-00,2,1,4,5,4,2,1,0,10,3,8,5,4,3,1,3,1,0,0,0,0,107Y06M
A6401-03,A6401-03-001,A6401-0018-00,12,6,10,14,16,25,22,42,17,21,40,30,35,23,14,23,10,6,2,1,0,107Y06M
A6401-03,A6401-03-002,A6401-0015-00,1,1,0,0,2,5,3,0,0,1,4,5,1,0,3,4,1,0,0,0,0,107Y06M
A6401-03,A6401-03-002,A6401-0017-00,3,0,3,0,4,4,8,3,2,6,6,16,4,4,1,1,5,3,1,0,0,107Y06M
A6401-03,A6401-03-002,A6401-0020-00,4,4,6,15,24,19,12,23,16,15,19,23,18,11,7,17,4,5,1,0,0,107Y06M
A6401-03,A6401-03-003,A6401-0022-00,4,2,4,5,6,12,14,14,6,6,5,14,11,7,3,9,2,1,2,1,0,107Y06M
A6401-03,A6401-03-003,A6401-0025-00,5,7,6,19,11,11,10,23,11,25,24,24,28,15,5,3,6,5,1,0,0,107Y06M
A6401-03,A6401-03-004,A6401-0027-00,3,4,9,5,8,11,10,19,11,13,12,19,16,17,5,4,7,4,0,0,0,107Y06M
A6401-03,A6401-03-005,A6401-0032-00,9,7,9,10,22,22,9,14,20,20,32,27,6,11,12,8,8,4,1,0,0,107Y06M
A6401-03,A6401-03-005,A6401-0037-00,6,4,5,2,10,10,7,11,13,13,9,21,15,14,10,4,5,4,1,0,0,107Y06M
A6401-03,A6401-03-006,A6401-0042-00,4,0,1,7,5,8,5,4,7,6,8,7,6,6,9,1,4,0,0,0,0,107Y06M
A6401-03,A6401-03-006,A6401-0044-00,5,9,1,4,7,4,9,14,8,9,10,11,8,13,6,7,1,3,1,0,0,107Y06M
A6401-03,A6401-03-007,A6401-0045-00,7,5,9,10,8,10,15,21,18,11,12,14,24,15,11,6,10,2,2,1,0,107Y06M
A6401-03,A6401-03-007,A6401-0048-00,2,1,3,8,11,10,8,5,14,12,16,10,14,4,6,5,6,2,1,0,0,107Y06M
A6401-04,A6401-04-001,A6401-0030-00,10,3,13,9,15,14,18,17,11,19,21,23,24,25,9,8,10,5,0,1,0,107Y06M
A6401-04,A6401-04-002,A6401-0034-00,10,9,11,6,24,24,27,27,19,18,30,24,22,30,15,13,7,2,2,0,0,107Y06M
A6401-04,A6401-04-003,A6401-0039-00,5,8,11,12,24,22,25,24,24,14,23,43,36,28,18,14,9,4,2,0,0,107Y06M
A6401-04,A6401-04-004,A6401-0047-00,4,6,12,26,16,18,15,21,29,36,23,19,21,24,14,25,11,5,2,0,0,107Y06M
A6401-04,A6401-04-005,A6401-0049-00,16,5,17,19,21,25,23,23,26,15,39,34,29,33,14,9,11,0,1,1,0,107Y06M
A6401-04,A6401-04-006,A6401-0053-00,4,5,9,6,13,8,14,15,13,15,9,14,24,18,12,7,3,3,2,0,0,107Y06M
A6401-04,A6401-04-007,A6401-0056-00,4,4,5,5,13,26,12,22,26,12,20,25,29,14,6,10,5,3,0,0,0,107Y06M
A6401-04,A6401-04-008,A6401-0059-00,8,8,10,16,28,33,29,27,13,28,42,35,37,25,13,16,8,9,1,0,0,107Y06M
A6401-05,A6401-05-001,A6401-0041-00,8,4,19,17,24,19,13,24,20,33,17,27,32,19,8,6,7,8,1,0,0,107Y06M
A6401-05,A6401-05-002,A6401-0046-00,5,4,5,3,11,4,6,16,22,17,10,13,24,18,13,6,3,3,2,0,0,107Y06M
A6401-05,A6401-05-002,A6401-0057-00,4,2,5,8,4,6,12,15,11,11,16,15,15,17,11,8,6,2,0,1,0,107Y06M
A6401-05,A6401-05-003,A6401-0051-00,1,3,1,1,2,3,4,4,2,3,6,5,4,4,2,1,2,5,1,0,0,107Y06M
A6401-05,A6401-05-003,A6401-0054-00,6,6,3,7,6,5,8,10,8,12,11,7,7,7,5,9,5,0,1,0,0,107Y06M
A6401-05,A6401-05-004,A6401-0050-00,5,1,8,15,14,12,13,24,14,14,25,28,22,17,6,7,6,5,0,1,0,107Y06M
A6401-05,A6401-05-004,A6401-0060-00,1,0,0,0,4,7,6,2,3,4,6,5,8,2,1,3,5,2,1,0,0,107Y06M
A6401-05,A6401-05-005,A6401-0055-00,5,1,3,9,7,5,5,13,14,15,8,8,9,15,11,5,5,4,1,0,0,107Y06M
A6401-05,A6401-05-005,A6401-0058-00,7,4,5,10,10,23,22,18,23,16,22,31,25,20,11,10,7,5,1,0,0,107Y06M
A6401-05,A6401-05-006,A6401-0062-00,1,3,3,8,15,11,12,14,16,13,19,22,23,19,10,11,5,3,1,0,0,107Y06M
A6401-05,A6401-05-007,A6401-0064-00,12,13,10,14,16,26,21,31,23,14,19,32,32,34,6,12,4,8,0,0,0,107Y06M
A6401-05,A6401-05-008,A6401-0073-00,11,9,8,19,22,15,20,23,21,22,30,37,32,23,15,11,9,7,4,0,0,107Y06M
A6401-06,A6401-06-001,A6401-0052-00,0,0,2,1,7,4,1,7,4,9,11,6,7,8,3,1,1,3,0,1,0,107Y06M
A6401-06,A6401-06-002,A6401-0065-00,1,1,3,3,2,7,3,10,15,24,31,32,31,14,4,4,4,6,1,0,0,107Y06M
A6401-07,A6401-07-001,A6401-0061-00,5,1,4,7,9,11,16,20,23,13,12,14,26,19,13,8,4,2,0,3,0,107Y06M
A6401-07,A6401-07-002,A6401-0063-00,7,4,8,9,18,19,23,10,9,12,15,22,20,15,8,8,3,1,0,0,0,107Y06M
A6401-07,A6401-07-002,A6401-0066-00,4,5,2,7,11,7,8,5,7,10,9,13,6,9,6,6,4,3,0,2,0,107Y06M
A6401-07,A6401-07-003,A6401-0069-00,8,4,7,10,14,15,13,9,19,14,10,16,27,17,8,13,4,5,0,0,0,107Y06M
A6401-07,A6401-07-004,A6401-0068-00,7,1,4,11,28,27,26,10,5,20,23,35,24,13,7,11,6,3,2,1,0,107Y06M
A6401-07,A6401-07-004,A6401-0072-00,2,1,2,7,5,12,4,0,5,9,7,8,10,5,1,0,1,0,0,1,0,107Y06M
A6401-07,A6401-07-005,A6401-0075-00,6,6,13,12,17,20,20,13,17,23,25,29,36,19,9,10,8,2,0,0,0,107Y06M
A6401-07,A6401-07-006,A6401-0080-00,3,2,4,10,15,22,20,18,14,9,14,26,36,17,15,13,6,4,2,1,0,107Y06M
A6401-07,A6401-07-007,A6401-0079-00,2,0,2,0,4,0,2,9,1,3,2,5,5,7,4,0,3,1,0,0,0,107Y06M
A6401-07,A6401-07-007,A6401-0083-00,6,1,5,6,12,8,5,7,7,17,8,9,7,8,8,5,2,2,0,0,0,107Y06M
A6401-07,A6401-07-008,A6401-0089-00,1,8,8,6,4,16,17,20,14,25,13,26,27,16,9,15,5,5,2,0,0,107Y06M
A6401-07,A6401-07-008,A6401-0094-00,12,2,4,6,6,12,13,16,8,8,15,17,16,8,4,6,9,3,0,0,0,107Y06M
A6401-08,A6401-08-001,A6401-0071-00,7,9,10,6,12,17,18,20,21,18,25,30,22,19,12,11,10,6,3,0,0,107Y06M
A6401-08,A6401-08-002,A6401-0067-00,4,1,8,14,15,12,10,16,15,20,24,22,19,29,16,5,4,3,1,2,0,107Y06M
A6401-08,A6401-08-002,A6401-0076-00,4,4,6,6,10,9,7,8,9,11,20,13,11,12,6,5,2,2,0,0,0,107Y06M
A6401-08,A6401-08-003,A6401-0078-00,6,7,5,5,15,10,18,17,17,13,26,22,22,29,10,12,13,4,3,0,0,107Y06M
A6401-08,A6401-08-004,A6401-0074-00,11,6,9,11,12,14,14,16,10,12,17,24,13,11,8,9,4,2,0,0,0,107Y06M
A6401-08,A6401-08-004,A6401-0084-00,9,0,2,5,12,11,17,14,7,13,5,21,25,12,9,5,6,0,2,0,0,107Y06M
A6401-08,A6401-08-005,A6401-0081-00,7,1,6,10,14,15,10,11,9,11,25,28,25,11,8,8,10,4,2,0,0,107Y06M
A6401-08,A6401-08-006,A6401-0082-00,5,4,9,7,6,5,6,9,8,4,6,10,6,7,3,2,3,1,1,0,0,107Y06M
A6401-08,A6401-08-007,A6401-0087-00,2,4,5,14,16,12,10,12,18,12,18,25,8,17,5,6,13,2,2,0,0,107Y06M
A6401-08,A6401-08-008,A6401-0093-00,6,6,15,7,9,15,16,13,22,14,4,16,11,21,8,6,7,4,2,0,0,107Y06M
A6401-08,A6401-08-009,A6401-0092-00,3,3,5,7,12,11,13,10,9,10,8,19,16,8,10,10,12,3,1,0,0,107Y06M
A6401-08,A6401-08-009,A6401-0095-00,3,3,3,4,13,10,10,12,7,12,10,21,17,22,4,13,5,2,2,0,0,107Y06M
A6401-08,A6401-08-010,A6401-0098-00,0,4,2,7,10,10,5,2,7,9,15,12,8,7,4,5,2,1,0,0,0,107Y06M
A6401-10,A6401-10-001,A6401-0077-00,6,6,6,6,19,10,7,11,7,9,18,10,15,14,3,7,6,0,1,0,0,107Y06M
A6401-10,A6401-10-001,A6401-0085-00,4,1,2,1,0,5,4,1,3,6,2,1,3,8,1,2,0,3,0,0,0,107Y06M
A6401-10,A6401-10-001,A6401-0088-00,8,3,10,9,8,9,10,10,8,8,13,15,9,8,5,4,3,2,0,0,0,107Y06M
A6401-10,A6401-10-002,A6401-0096-00,2,0,0,2,2,0,2,5,2,4,5,5,5,3,0,2,0,0,0,0,0,107Y06M
A6401-10,A6401-10-002,A6401-0101-00,9,11,18,13,13,16,14,28,27,16,14,21,14,19,19,11,6,4,2,0,0,107Y06M
A6401-10,A6401-10-003,A6401-0099-00,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,107Y06M
A6401-10,A6401-10-004,A6401-0100-00,17,8,12,15,25,34,27,29,31,22,23,41,46,26,15,10,8,3,1,0,0,107Y06M
A6401-10,A6401-10-005,A6401-0106-00,9,4,3,6,8,11,12,15,15,5,13,18,13,17,3,5,3,2,0,0,0,107Y06M
A6401-10,A6401-10-005,A6401-0110-00,7,7,11,11,23,17,16,21,8,18,26,13,24,9,8,7,6,4,1,0,0,107Y06M
A6401-10,A6401-10-006,A6401-0108-00,2,1,1,2,1,2,3,1,3,1,3,1,3,5,2,0,0,0,0,0,0,107Y06M
A6401-10,A6401-10-006,A6401-0111-00,4,4,1,4,12,11,14,8,13,9,13,12,17,14,9,6,1,1,1,0,0,107Y06M
A6401-10,A6401-10-007,A6401-0114-00,9,11,15,12,6,8,14,18,12,24,26,13,12,10,8,11,5,3,0,0,0,107Y06M
A6401-10,A6401-10-008,A6401-0117-00,6,10,5,14,13,16,19,21,15,19,20,25,21,18,8,10,9,1,2,0,0,107Y06M
A6401-11,A6401-11-001,A6401-0070-00,8,6,11,9,10,18,21,16,17,20,28,17,22,19,9,5,6,1,1,0,0,107Y06M
A6401-11,A6401-11-001,A6401-0091-00,0,0,0,1,4,2,0,0,0,4,4,3,0,0,0,1,0,0,0,0,0,107Y06M
A6401-11,A6401-11-002,A6401-0103-00,9,4,12,7,12,15,9,12,15,16,20,17,18,11,9,10,4,4,1,0,0,107Y06M
A6401-11,A6401-11-003,A6401-0107-00,11,8,12,17,27,19,26,22,18,33,36,37,24,12,8,19,19,4,4,2,0,107Y06M
A6401-11,A6401-11-004,A6401-0104-00,13,6,4,3,4,4,10,20,12,12,10,5,13,4,2,2,2,2,0,0,0,107Y06M
A6401-11,A6401-11-004,A6401-0115-00,19,14,9,11,10,12,24,36,24,14,12,12,23,8,9,3,3,3,1,0,0,107Y06M
A6401-11,A6401-11-005,A6401-0122-00,11,6,10,16,15,37,26,19,11,18,29,34,26,17,3,9,7,4,0,0,0,107Y06M
A6401-11,A6401-11-006,A6401-0118-00,4,5,6,4,17,12,10,17,17,19,13,9,17,14,4,3,3,2,1,0,0,107Y06M
A6401-11,A6401-11-007,A6401-0125-00,8,3,7,10,16,19,22,19,15,17,16,24,28,19,10,7,5,6,2,1,0,107Y06M
A6401-11,A6401-11-008,A6401-0129-00,5,5,5,11,19,21,18,12,8,17,18,25,19,11,14,9,4,1,0,0,0,107Y06M
A6401-11,A6401-11-009,A6401-0126-00,16,2,6,18,15,11,8,17,14,16,24,15,15,21,11,14,4,5,3,0,0,107Y06M
A6401-11,A6401-11-009,A6401-0133-00,4,4,2,2,1,8,10,9,8,12,7,5,11,3,8,0,2,1,0,0,0,107Y06M
A6401-11,A6401-11-010,A6401-0132-00,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,107Y06M
A6401-11,A6401-11-010,A6401-0134-00,3,6,11,16,13,9,7,18,16,25,9,8,9,12,8,6,4,1,0,0,0,107Y06M
A6401-12,A6401-12-001,A6401-0113-00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y06M
A6401-13,A6401-13-001,A6401-0097-00,4,10,7,5,5,10,12,15,14,14,14,17,25,17,6,8,4,1,1,1,0,107Y06M
A6401-13,A6401-13-001,A6401-0102-00,5,6,3,9,12,9,10,15,5,10,12,13,24,9,5,6,3,2,0,0,0,107Y06M
A6401-13,A6401-13-002,A6401-0109-00,14,9,13,9,12,16,29,37,30,10,23,24,33,34,11,12,6,4,1,1,0,107Y06M
A6401-13,A6401-13-003,A6401-0105-00,6,6,3,7,8,5,16,17,14,18,15,21,15,24,9,7,7,3,1,0,0,107Y06M
A6401-13,A6401-13-003,A6401-0112-00,5,5,7,7,19,11,16,11,13,16,17,17,23,18,10,9,7,3,4,1,0,107Y06M
A6401-13,A6401-13-004,A6401-0116-00,5,5,6,6,7,9,7,14,4,8,14,10,13,13,3,17,1,7,1,0,0,107Y06M
A6401-13,A6401-13-005,A6401-0120-00,9,8,6,5,11,12,9,19,14,11,5,18,18,13,7,3,2,0,1,0,0,107Y06M
A6401-13,A6401-13-005,A6401-0124-00,1,3,6,6,9,10,15,11,14,15,15,12,18,15,11,5,4,3,2,0,0,107Y06M
A6401-13,A6401-13-006,A6401-0119-00,0,1,4,7,3,4,0,2,4,3,4,8,6,3,2,1,2,1,0,0,0,107Y06M
A6401-13,A6401-13-006,A6401-0123-00,1,1,0,0,4,6,6,2,2,3,7,7,9,4,3,5,2,4,1,1,0,107Y06M
A6401-13,A6401-13-006,A6401-0127-00,6,5,3,5,13,11,11,14,13,13,14,15,14,10,13,5,4,3,0,0,0,107Y06M
A6401-13,A6401-13-007,A6401-0130-00,14,15,13,31,35,44,41,28,37,33,37,45,38,26,23,20,5,4,1,0,0,107Y06M
A6401-14,A6401-14-001,A6401-0137-00,0,0,0,0,0,0,1,0,2,2,1,2,0,1,0,0,0,0,0,0,0,107Y06M
A6402-01,A6402-01-001,A6402-0002-00,9,4,1,12,15,14,5,12,12,16,11,6,7,11,5,7,1,1,1,0,0,107Y06M
A6402-01,A6402-01-001,A6402-0003-00,10,8,4,11,14,18,10,11,8,7,18,15,22,10,3,5,2,2,2,1,0,107Y06M
A6402-01,A6402-01-002,A6402-0001-00,42,24,9,15,19,30,39,60,38,24,25,26,21,14,6,3,1,0,1,0,0,107Y06M
A6402-01,A6402-01-002,A6402-0005-00,8,7,7,20,30,24,18,15,26,30,27,31,23,14,9,5,4,3,1,0,0,107Y06M
A6402-01,A6402-01-003,A6402-0006-00,22,10,6,13,36,23,21,23,21,30,29,35,17,18,6,8,8,0,0,0,1,107Y06M
A6402-01,A6402-01-004,A6402-0004-00,0,0,2,3,6,2,2,6,2,10,4,2,3,3,2,2,2,1,0,0,0,107Y06M
A6402-01,A6402-01-004,A6402-0007-00,5,2,1,2,6,5,6,5,4,5,5,3,12,5,4,3,2,2,1,0,0,107Y06M
A6402-01,A6402-01-004,A6402-0009-00,1,0,0,3,9,8,11,7,2,4,4,12,11,11,3,4,1,2,1,0,0,107Y06M
A6402-01,A6402-01-005,A6402-0011-00,13,5,5,22,27,26,28,22,21,27,43,34,16,26,14,13,2,2,2,0,0,107Y06M
A6402-01,A6402-01-006,A6402-0012-00,10,11,12,8,21,26,27,38,21,20,27,25,36,29,6,8,3,1,1,1,0,107Y06M
A6402-01,A6402-01-007,A6402-0013-00,25,10,8,11,21,15,25,30,49,37,35,18,16,7,6,2,5,1,1,0,0,107Y06M
A6402-01,A6402-01-008,A6402-0015-00,8,5,5,12,17,17,28,25,16,9,19,21,29,24,9,7,4,2,1,0,0,107Y06M
A6402-01,A6402-01-008,A6402-0024-00,8,2,2,11,18,7,18,20,9,12,19,15,18,9,7,1,2,1,0,0,0,107Y06M
A6402-02,A6402-02-001,A6402-0020-00,2,2,1,7,12,18,19,11,12,13,17,11,21,17,9,2,1,4,0,1,0,107Y06M
A6402-02,A6402-02-002,A6402-0021-00,4,4,3,9,12,8,10,10,16,9,9,13,17,10,4,1,2,2,0,0,0,107Y06M
A6402-02,A6402-02-002,A6402-0028-00,3,4,3,3,6,6,7,10,5,10,5,9,6,16,6,5,2,1,1,0,0,107Y06M
A6402-02,A6402-02-003,A6402-0026-00,13,12,9,12,26,21,30,32,33,29,34,31,40,42,19,14,6,16,3,1,0,107Y06M
A6402-02,A6402-02-004,A6402-0032-00,6,12,8,12,11,28,30,22,30,16,17,34,39,22,10,8,5,6,1,0,0,107Y06M
A6402-02,A6402-02-005,A6402-0033-00,17,11,24,32,39,47,56,57,36,64,60,63,69,60,35,26,18,14,4,0,0,107Y06M
A6402-02,A6402-02-006,A6402-0035-00,16,3,0,13,28,23,25,19,25,16,25,24,27,19,2,4,3,5,0,1,0,107Y06M
A6402-02,A6402-02-007,A6402-0040-00,6,3,8,10,21,21,19,18,27,23,28,22,19,36,16,13,9,6,0,0,0,107Y06M
A6402-03,A6402-03-001,A6402-0010-00,10,8,6,7,22,26,18,23,21,12,29,37,16,23,15,3,5,2,1,0,0,107Y06M
A6402-03,A6402-03-001,A6402-0014-00,6,0,3,5,14,12,9,21,15,5,15,15,12,12,6,7,1,1,0,0,0,107Y06M
A6402-03,A6402-03-002,A6402-0022-00,11,8,6,13,13,12,22,32,21,15,15,22,30,22,9,6,5,6,0,0,0,107Y06M
A6402-03,A6402-03-003,A6402-0031-00,10,13,4,13,18,18,13,24,24,18,19,19,19,17,10,6,3,4,0,0,0,107Y06M
A6402-03,A6402-03-004,A6402-0030-00,4,4,0,3,8,10,9,12,11,5,12,8,11,7,8,3,2,0,0,0,0,107Y06M
A6402-03,A6402-03-004,A6402-0037-00,3,2,0,1,2,2,5,2,1,2,2,6,2,0,1,0,1,0,0,0,0,107Y06M
A6402-03,A6402-03-004,A6402-0042-00,6,1,0,1,4,4,5,6,2,5,3,2,8,5,5,0,2,1,0,0,0,107Y06M
A6402-03,A6402-03-004,A6402-0046-00,1,0,0,0,1,3,2,3,1,0,4,2,5,4,0,1,1,1,0,0,0,107Y06M
A6402-03,A6402-03-005,A6402-0049-00,3,4,4,5,7,5,9,4,6,13,10,12,8,8,6,3,4,3,0,0,0,107Y06M
A6402-03,A6402-03-005,A6402-0056-00,9,5,3,11,14,20,23,15,18,16,29,27,14,15,12,8,4,2,1,0,0,107Y06M
A6402-03,A6402-03-006,A6402-0060-00,20,16,17,21,21,27,26,28,18,28,26,30,21,22,10,4,3,4,0,0,0,107Y06M
A6402-03,A6402-03-007,A6402-0081-00,14,11,17,18,25,24,21,23,12,26,26,39,20,11,12,5,4,4,1,0,0,107Y06M
A6402-03,A6402-03-008,A6402-0089-00,36,50,42,27,21,22,37,57,80,51,31,24,20,16,11,2,4,2,0,0,0,107Y06M
A6402-04,A6402-04-001,A6402-0016-00,6,4,2,8,25,24,11,16,17,12,21,14,26,20,13,7,5,1,2,1,0,107Y06M
A6402-04,A6402-04-001,A6402-0018-00,1,0,0,0,0,2,2,3,2,1,2,1,5,2,1,0,0,1,0,0,0,107Y06M
A6402-04,A6402-04-001,A6402-0029-00,3,0,4,4,9,8,5,6,10,9,8,3,5,4,7,1,1,0,0,0,0,107Y06M
A6402-04,A6402-04-002,A6402-0041-00,12,16,17,19,35,25,31,30,22,24,27,31,36,23,7,11,6,5,1,0,0,107Y06M
A6402-04,A6402-04-003,A6402-0044-00,6,0,2,9,7,5,6,13,8,6,9,5,9,7,2,4,0,0,1,0,0,107Y06M
A6402-04,A6402-04-003,A6402-0054-00,7,1,4,7,16,21,15,17,12,13,16,17,21,16,9,5,1,2,0,0,0,107Y06M
A6402-04,A6402-04-004,A6402-0053-00,8,5,8,32,23,17,21,17,22,26,45,24,27,20,5,10,3,1,2,0,1,107Y06M
A6402-04,A6402-04-005,A6402-0064-00,7,6,8,21,18,25,24,23,16,23,40,23,33,17,6,8,2,6,1,0,0,107Y06M
A6402-04,A6402-04-006,A6402-0076-00,12,5,2,8,9,19,26,15,10,11,21,21,20,18,5,2,4,3,1,0,0,107Y06M
A6402-04,A6402-04-006,A6402-0084-00,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,107Y06M
A6402-04,A6402-04-007,A6402-0083-00,12,7,13,40,29,24,16,18,23,52,53,39,24,16,9,6,6,5,0,0,0,107Y06M
A6402-04,A6402-04-008,A6402-0100-00,27,42,26,28,26,22,51,42,48,37,28,25,29,18,17,7,4,4,2,0,0,107Y06M
A6402-05,A6402-05-001,A6402-0017-00,2,2,3,1,7,4,9,7,6,8,7,7,6,3,4,4,1,1,0,0,0,107Y06M
A6402-05,A6402-05-001,A6402-0023-00,8,8,5,9,20,20,29,24,8,17,24,22,25,21,5,7,2,1,0,0,0,107Y06M
A6402-05,A6402-05-002,A6402-0019-00,11,6,9,20,23,19,21,22,24,21,27,24,32,14,7,8,2,5,0,1,0,107Y06M
A6402-05,A6402-05-003,A6402-0027-00,4,0,3,7,5,11,9,7,8,6,8,11,6,7,2,2,2,0,1,0,0,107Y06M
A6402-05,A6402-05-003,A6402-0039-00,9,5,4,17,26,12,14,20,28,26,22,21,21,16,11,4,4,2,0,0,0,107Y06M
A6402-05,A6402-05-004,A6402-0025-00,1,0,2,6,3,3,8,9,4,9,7,11,11,7,5,2,1,3,2,0,0,107Y06M
A6402-05,A6402-05-004,A6402-0034-00,2,2,0,4,2,11,4,7,3,8,7,12,12,3,3,3,0,1,0,0,0,107Y06M
A6402-05,A6402-05-004,A6402-0038-00,1,0,0,3,4,3,4,3,0,1,2,7,4,5,1,1,0,1,1,0,0,107Y06M
A6402-05,A6402-05-004,A6402-0043-00,5,2,2,2,2,4,3,8,9,5,7,2,7,5,2,3,0,0,0,0,0,107Y06M
A6402-05,A6402-05-004,A6402-0048-00,2,3,0,4,6,7,4,4,5,5,11,6,7,2,7,3,2,2,0,0,0,107Y06M
A6402-05,A6402-05-004,A6402-0055-00,1,1,0,3,2,6,3,5,4,5,4,8,3,1,3,2,6,2,0,0,0,107Y06M
A6402-05,A6402-05-005,A6402-0052-00,15,5,8,23,35,54,36,27,20,28,44,54,42,28,10,8,8,11,2,1,0,107Y06M
A6402-05,A6402-05-006,A6402-0068-00,8,7,6,24,21,32,37,19,25,30,42,37,39,26,16,11,10,6,4,1,0,107Y06M
A6402-05,A6402-05-007,A6402-0082-00,11,3,4,22,35,33,24,24,23,19,37,39,50,23,12,6,9,3,3,0,1,107Y06M
A6402-06,A6402-06-002,A6402-0075-00,0,0,0,1,2,1,1,0,1,1,2,0,1,0,1,0,0,0,0,0,0,107Y06M
A6402-08,A6402-08-001,A6402-0063-00,8,2,5,10,18,9,17,21,16,13,22,17,12,19,6,4,5,3,0,0,0,107Y06M
A6402-08,A6402-08-002,A6402-0072-00,2,4,8,10,9,20,15,17,16,12,17,18,20,20,6,11,4,2,2,0,1,107Y06M
A6402-08,A6402-08-002,A6402-0080-00,0,0,1,4,1,2,2,3,2,2,2,3,2,2,2,2,2,3,1,0,0,107Y06M
