CODE2,CODE1,CODEBASE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
A6402-15,A6402-15-004,A6402-0142-00,93.94,2.37,7451.75,56.1,9.76,46.34,475,107Y12M
A6402-15,A6402-15-005,A6402-0179-00,71.62,2.36,19829.45,53.47,40.79,12.69,31.11,107Y12M
A6402-15,A6402-15-005,A6402-0186-00,71.02,2.49,121026.65,54.36,41.54,12.82,30.86,107Y12M
A6402-15,A6402-15-006,A6402-0183-00,91.64,2.18,49595.51,45.7,36.89,8.81,23.89,107Y12M
A6402-15,A6402-15-007,A6402-0203-00,71.64,2.31,65604.15,48.2,29.12,19.07,65.49,107Y12M
A6402-15,A6402-15-008,A6402-0206-00,87.34,2.4,113714.43,45.57,37.05,8.52,23.01,107Y12M
A6402-15,A6402-15-008,A6402-0212-00,95.04,2.29,30173.39,44.79,26.38,18.4,69.77,107Y12M
A6402-16,A6402-16-001,A6402-0094-00,73.02,2.22,37017.62,37.97,26.58,11.39,42.86,107Y12M
A6402-16,A6402-16-001,A6402-0103-00,71.56,2.17,43903.4,40.6,30.83,9.77,31.71,107Y12M
A6402-16,A6402-16-002,A6402-0111-00,88.49,2.73,59442.99,39.36,17.55,21.81,124.24,107Y12M
A6402-16,A6402-16-003,A6402-0125-00,85.39,2.24,55704.67,35.79,27.42,8.36,30.49,107Y12M
A6402-16,A6402-16-004,A6402-0146-00,62.44,1.98,104723.16,30.08,24.22,5.86,24.19,107Y12M
A6402-16,A6402-16-005,A6402-0147-00,94.19,2.46,104986.51,32.54,14.68,17.86,121.62,107Y12M
A6402-16,A6402-16-006,A6402-0155-00,88.02,2.08,30222.12,43.66,31.69,11.97,37.78,107Y12M
A6402-16,A6402-16-007,A6402-0170-00,90.91,2.47,41247.41,55.56,38.27,17.28,45.16,107Y12M
A6402-16,A6402-16-007,A6402-0172-00,90.71,2.44,132716.8,55.11,40,15.11,37.78,107Y12M
A6402-17,A6402-17-001,A6402-0116-00,72.32,2.61,56562.68,34.97,20.28,14.69,72.41,107Y12M
A6402-17,A6402-17-001,A6402-0131-00,100,2.41,41544.62,28.26,14.13,14.13,100,107Y12M
A6402-17,A6402-17-002,A6402-0140-00,70.37,2.3,92606.82,45.15,37.62,7.52,20,107Y12M
A6402-17,A6402-17-003,A6402-0145-00,73.84,2.24,47150.77,47.25,38.63,8.63,22.34,107Y12M
A6402-17,A6402-17-003,A6402-0149-00,83.89,2.32,117101.97,47.31,36.02,11.29,31.34,107Y12M
A6402-17,A6402-17-004,A6402-0150-00,77.86,2.45,58096.45,37.87,17.75,20.12,113.33,107Y12M
A6402-17,A6402-17-005,A6402-0165-00,94.2,2.18,17322.99,35.35,26.26,9.09,34.62,107Y12M
A6402-17,A6402-17-005,A6402-0167-00,82.89,1.74,51953.63,47.87,34.04,13.83,40.63,107Y12M
A6402-17,A6402-17-006,A6402-0168-00,79.06,2.34,104647.73,45.53,28.51,17.02,59.7,107Y12M
A6402-17,A6402-17-007,A6402-0169-00,82.87,2.33,66163.99,35,21.18,13.82,65.28,107Y12M
A6402-18,A6402-18-001,A6402-0152-00,97.44,2.66,32257.15,38.12,24.66,13.45,54.55,107Y12M
A6402-18,A6402-18-002,A6402-0144-00,85.48,2.45,32090.65,33.72,15.12,18.6,123.08,107Y12M
A6402-18,A6402-18-002,A6402-0159-00,107.77,2.33,42036.8,44.59,20.27,24.32,120,107Y12M
A6402-18,A6402-18-003,A6402-0154-00,87.13,2.91,64436.87,39.74,20.52,19.21,93.62,107Y12M
A6402-18,A6402-18-004,A6402-0161-00,101.27,2.75,103299.82,34.94,20.45,14.49,70.83,107Y12M
A6402-18,A6402-18-005,A6402-0171-00,108.7,2.53,108823.95,36.49,20.85,15.64,75,107Y12M
A6402-18,A6402-18-006,A6402-0180-00,71.43,2.54,73198.67,18.68,10.44,8.24,78.95,107Y12M
A6402-18,A6402-18-007,A6402-0181-00,100,3.42,17975.67,57.69,40.38,17.31,42.86,107Y12M
A6402-18,A6402-18-007,A6402-0182-00,103.37,3.12,25630.02,44.8,23.2,21.6,93.1,107Y12M
A6402-18,A6402-18-008,A6402-0192-00,93.18,2.7,46284.34,49.12,20.61,28.51,138.3,107Y12M
A6402-19,A6402-19-001,A6402-0137-00,101.5,2.68,31722.22,35.35,10.61,24.75,233.33,107Y12M
A6402-19,A6402-19-002,A6402-0141-00,88.81,2.6,28347.77,39.18,12.37,26.8,216.67,107Y12M
A6402-19,A6402-19-003,A6402-0156-00,94,2.98,30663.02,46.97,12.12,34.85,287.5,107Y12M
A6402-19,A6402-19-004,A6402-0164-00,106.73,2.69,15663.46,39.61,11.04,28.57,258.82,107Y12M
A6402-19,A6402-19-005,A6402-0158-00,107.48,2.58,14204.35,40.51,5.7,34.81,611.11,107Y12M
A6402-19,A6402-19-005,A6402-0201-00,92.22,2.25,11715.28,36.22,9.45,26.77,283.33,107Y12M
A6402-19,A6402-19-006,A6402-0187-00,115.97,2.32,15876.4,46.86,13.14,33.71,256.52,107Y12M
A6402-19,A6402-19-007,A6402-0189-00,101.11,2.48,14506.77,36.09,4.51,31.58,700,107Y12M
A6402-19,A6402-19-008,A6402-0214-00,112.31,2.65,15997.14,33.55,11.61,21.94,188.89,107Y12M
A6402-19,A6402-19-009,A6402-0224-00,116.07,2.52,18661.77,53.16,17.72,35.44,200,107Y12M
A6402-20,A6402-20-001,A6402-0127-00,101.6,2.64,19263.05,49.6,37.7,11.9,31.58,107Y12M
A6402-20,A6402-20-001,A6402-0128-00,78.34,2.35,37470.87,45.72,35.4,10.32,29.17,107Y12M
A6402-20,A6402-20-002,A6402-0134-00,94.95,2.47,5444.96,39.86,22.46,17.39,77.42,107Y12M
A6402-20,A6402-20-002,A6402-0175-00,96.04,2.24,32838.18,42.45,31.65,10.79,34.09,107Y12M
A6402-20,A6402-20-002,A6402-0176-00,0,1,33.08,0,0,0,0,107Y12M
A6402-20,A6402-20-003,A6402-0173-00,78.07,2.27,67790.6,48.54,36.83,11.71,31.79,107Y12M
A6402-20,A6402-20-004,A6402-0202-00,76.23,2.42,77015.31,56.56,47.36,9.2,19.43,107Y12M
A6402-20,A6402-20-005,A6402-0204-00,91.18,2.23,38215.49,45.09,36.16,8.93,24.69,107Y12M
A6402-20,A6402-20-005,A6402-0210-00,101.56,2.11,9473.66,46.59,38.64,7.95,20.59,107Y12M
A6402-20,A6402-20-005,A6402-0215-00,100,2.47,11256.29,45.9,30.33,15.57,51.35,107Y12M
A6402-20,A6402-20-006,A6402-0241-00,84.78,2.35,18040.47,58.29,41.34,16.95,40.99,107Y12M
A6402-20,A6402-20-007,A6402-0243-00,76.79,2.18,45114.93,47.6,34.4,13.21,38.39,107Y12M
A6402-21,A6402-21-001,A6402-0193-00,103.48,2.82,60813.21,42.25,23.71,18.54,78.21,107Y12M
A6402-21,A6402-21-002,A6402-0195-00,75.76,3.14,40886.82,46.84,26.58,20.25,76.19,107Y12M
A6402-21,A6402-21-002,A6402-0197-00,112.2,2.81,31794.29,42.62,31.15,11.48,36.84,107Y12M
A6402-21,A6402-21-002,A6402-0200-00,96.77,2.9,31523.69,60.53,29.82,30.7,102.94,107Y12M
A6402-21,A6402-21-003,A6402-0185-00,94.2,2.68,14200.58,27.62,13.33,14.29,107.14,107Y12M
