CODE2,CODE1,CODEBASE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
Jan-35,A6404-03-001,A6404-0045-00,94.74,2.85,17849.23,29.07,21.71,7.36,33.93,107Y12M
Jan-35,A6404-03-001,A6404-0051-00,102.97,2.97,25919.38,36.67,28.67,8,27.91,107Y12M
Jan-35,A6404-03-002,A6404-0042-00,82.86,1.56,19165.12,30.61,18.37,12.24,66.67,107Y12M
Jan-35,A6404-03-002,A6404-0044-00,92.31,2.88,15577.85,33.93,28.57,5.36,18.75,107Y12M
Jan-35,A6404-03-002,A6404-0047-00,108.11,3.35,26852.42,46.67,34.29,12.38,36.11,107Y12M
Jan-35,A6404-03-002,A6404-0052-00,89.38,3.24,22927.48,44.59,33.11,11.49,34.69,107Y12M
Jan-35,A6404-03-003,A6404-0060-00,97.91,2.91,24122.52,31.25,26.74,4.51,16.88,107Y12M
Jan-35,A6404-03-004,A6404-0067-00,92.34,3.16,26679.74,45.81,34.52,11.29,32.71,107Y12M
Jan-35,A6404-03-005,A6404-0066-00,89.34,3.03,25040.47,31.34,21.83,9.51,43.55,107Y12M
Jan-35,A6404-03-006,A6404-0080-00,103.51,2.86,16481.34,38.1,23.81,14.29,60,107Y12M
Feb-35,A6404-04-001,A6404-0053-00,93.98,2.93,14954.18,36.44,17.8,18.64,104.76,107Y12M
Feb-35,A6404-04-001,A6404-0056-00,92.31,3.52,32739.05,48.03,32.89,15.13,46,107Y12M
Feb-35,A6404-04-002,A6404-0059-00,91.47,3.29,27983.12,25.38,19.29,6.09,31.58,107Y12M
Feb-35,A6404-04-002,A6404-0061-00,96.69,3.09,28683.36,29.35,21.74,7.61,35,107Y12M
Feb-35,A6404-04-003,A6404-0057-00,86.96,2.69,11402.05,22.86,8.57,14.29,166.67,107Y12M
Feb-35,A6404-04-003,A6404-0063-00,134.78,3.38,24754.17,68.75,28.13,40.63,144.44,107Y12M
Feb-35,A6404-04-003,A6404-0065-00,111.63,2.98,19218.4,49.18,29.51,19.67,66.67,107Y12M
Feb-35,A6404-04-004,A6404-0070-00,92.16,2.97,22676.48,25.64,15.38,10.26,66.67,107Y12M
Feb-35,A6404-04-004,A6404-0072-00,100,2.67,20895.87,31.96,18.56,13.4,72.22,107Y12M
Feb-35,A6404-04-005,A6404-0077-00,91.01,2.6,53445.68,23.03,17,6.03,35.51,107Y12M
Apr-35,A6404-06-001,A6404-0096-00,95.68,3.02,7569.08,36.6,23.02,13.58,59.02,107Y12M
Apr-35,A6404-06-002,A6404-0098-00,100,2.33,1161.28,16.67,0,16.67,0,107Y12M
Apr-35,A6404-06-002,A6404-0102-00,107.79,3.08,23728.05,35.59,20.34,15.25,75,107Y12M
Apr-35,A6404-06-003,A6404-0107-00,87.65,2.87,28206.24,35.74,15.32,20.43,133.33,107Y12M
Apr-35,A6404-06-004,A6404-0109-00,700,1.6,710.86,60,20,40,200,107Y12M
Apr-35,A6404-06-004,A6404-0116-00,85.77,2.62,31390.97,30.85,22.11,8.74,39.53,107Y12M
Apr-35,A6404-06-005,A6404-0118-00,98,2.37,25413.53,26.92,12.5,14.42,115.38,107Y12M
Apr-35,A6404-06-006,A6404-0120-00,98.52,2.58,63461.34,23.62,16.26,7.36,45.28,107Y12M
May-35,A6404-07-001,A6404-0084-00,88.89,3.24,30582.71,41.67,31.25,10.42,33.33,107Y12M
May-35,A6404-07-001,A6404-0088-00,77.36,3.08,28356.11,36.23,28.99,7.25,25,107Y12M
May-35,A6404-07-002,A6404-0086-00,86.36,2.16,13326.66,54.72,37.74,16.98,45,107Y12M
May-35,A6404-07-002,A6404-0089-00,107.22,2.64,19569.25,46.72,40.15,6.57,16.36,107Y12M
May-35,A6404-07-002,A6404-0093-00,125.37,2.1,15560.45,31.3,20,11.3,56.52,107Y12M
May-35,A6404-07-003,A6404-0090-00,77.67,3.05,20878.91,27.08,13.89,13.19,95,107Y12M
May-35,A6404-07-003,A6404-0100-00,118.18,2.82,21477.67,43.28,25.37,17.91,70.59,107Y12M
May-35,A6404-07-004,A6404-0097-00,98.64,2.57,22157.7,35.91,25.08,10.84,43.21,107Y12M
May-35,A6404-07-005,A6404-0094-00,90.91,3.27,24234.36,47,23,24,104.35,107Y12M
May-35,A6404-07-005,A6404-0099-00,96.43,2.93,32936.53,40.13,19.75,20.38,103.23,107Y12M
May-35,A6404-07-006,A6404-0104-00,88.57,1.98,26487.82,23.94,17.37,6.57,37.84,107Y12M
May-35,A6404-07-006,A6404-0110-00,111.76,2.88,8189.27,33.33,23.15,10.19,44,107Y12M
Jun-35,A6404-08-001,A6404-0039-00,81.82,1.43,3217.46,17.65,11.76,5.88,50,107Y12M
Jun-35,A6404-08-001,A6404-0043-00,154.55,3.5,5336.36,64.71,47.06,17.65,37.5,107Y12M
Jun-35,A6404-08-001,A6404-0046-00,105.88,2.76,18810.88,35.19,30.04,5.15,17.14,107Y12M
Jun-35,A6404-08-001,A6404-0055-00,94.38,2.88,19877.46,39.52,33.87,5.65,16.67,107Y12M
Jun-35,A6404-08-002,A6404-0041-00,94.25,3.52,10491.87,40.83,31.67,9.17,28.95,107Y12M
Jun-35,A6404-08-002,A6404-0049-00,101.14,3.34,26174.1,35.11,30.53,4.58,15,107Y12M
Jun-35,A6404-08-002,A6404-0058-00,105.06,3.38,16996.45,33.88,26.45,7.44,28.13,107Y12M
Jun-35,A6404-08-003,A6404-0091-00,92.62,2.22,34047.84,37.23,32.24,4.99,15.47,107Y12M
Jun-35,A6404-08-004,A6404-0095-00,110.53,2.55,14896.51,41.18,32.35,8.82,27.27,107Y12M
Jun-35,A6404-08-005,A6404-0103-00,113.56,3.19,29531.73,48.24,37.35,10.88,29.13,107Y12M
Jun-35,A6404-08-006,A6404-0106-00,104.89,2.78,25601.43,46.82,39.17,7.64,19.51,107Y12M
Jun-35,A6404-08-006,A6404-0115-00,102.52,2.68,17174.67,47.85,39.88,7.98,20,107Y12M
Jun-35,A6404-08-007,A6404-0111-00,103.98,2.62,20425.43,44.28,37.9,6.38,16.83,107Y12M
Jun-35,A6404-08-007,A6404-0122-00,96.14,2.33,20183.39,37.63,33.22,4.41,13.27,107Y12M
Jun-35,A6404-08-009,A6404-0137-00,72.86,2.34,108262.04,46.23,37.74,8.49,22.5,107Y12M
Jun-35,A6404-08-009,A6404-0139-00,131.51,2.86,20887.36,40.83,25,15.83,63.33,107Y12M
Jun-35,A6404-08-010,A6404-0140-00,91.97,2.41,94949.35,43.72,35.52,8.2,23.08,107Y12M
Jun-35,A6404-08-010,A6404-0148-00,121.19,3.26,26806.04,45.81,35.75,10.06,28.13,107Y12M
Jun-35,A6404-08-011,A6404-0172-00,0,1,13.37,0,0,0,0,107Y12M
Jun-35,A6404-08-011,A6404-0175-00,81.84,2.34,61491.77,41.16,37.14,4.03,10.84,107Y12M
Jul-35,A6404-09-001,A6404-0081-00,107.78,2.88,23158.73,29.41,20.07,9.34,46.55,107Y12M
Jul-35,A6404-09-002,A6404-0078-00,80.49,2.64,23150.01,29.82,17.54,12.28,70,107Y12M
Jul-35,A6404-09-002,A6404-0079-00,81.33,2.83,26758.48,38.78,21.43,17.35,80.95,107Y12M
Jul-35,A6404-09-002,A6404-0087-00,107.32,2.79,21766.25,49.12,22.81,26.32,115.38,107Y12M
Jul-35,A6404-09-003,A6404-0092-00,111.76,3,8790.46,30.12,15.66,14.46,92.31,107Y12M
Jul-35,A6404-09-003,A6404-0101-00,80.49,2.74,6727.19,39.62,18.87,20.75,110,107Y12M
Jul-35,A6404-09-003,A6404-0112-00,110.58,3.13,27680.84,28.82,24.71,4.12,16.67,107Y12M
Jul-35,A6404-09-004,A6404-0105-00,131.58,2.55,11036.03,46.67,22.5,24.17,107.41,107Y12M
Jul-35,A6404-09-004,A6404-0108-00,86.59,3,14510.47,39.09,20,19.09,95.45,107Y12M
Jul-35,A6404-09-004,A6404-0113-00,82.76,2.21,22056.18,20.45,11.36,9.09,80,107Y12M
Jul-35,A6404-09-005,A6404-0114-00,96.84,2.81,23430.99,29.41,18.69,10.73,57.41,107Y12M
Jul-35,A6404-09-006,A6404-0121-00,114.29,3.04,16445.36,38.89,19.75,19.14,96.88,107Y12M
Jul-35,A6404-09-006,A6404-0128-00,91.74,2.86,17801.28,45.91,37.11,8.81,23.73,107Y12M
Jul-35,A6404-09-006,A6404-0136-00,86.96,2.61,9604.03,65.38,44.23,21.15,47.83,107Y12M
Jul-35,A6404-09-006,A6404-0138-00,107.56,2.94,17427.69,46.15,30.18,15.98,52.94,107Y12M
Sep-35,A6404-11-001,A6404-0117-00,94.83,2.69,21989.98,37.8,19.51,18.29,93.75,107Y12M
Sep-35,A6404-11-001,A6404-0119-00,83.67,2.65,23999.14,28.57,18.57,10,53.85,107Y12M
Sep-35,A6404-11-001,A6404-0124-00,81.25,2.23,18789.15,45,22.5,22.5,100,107Y12M
Sep-35,A6404-11-002,A6404-0126-00,83.33,2.97,30487.49,27.47,13.3,14.16,106.45,107Y12M
Sep-35,A6404-11-003,A6404-0125-00,92.8,2.65,16537.84,26.18,19.37,6.81,35.14,107Y12M
Sep-35,A6404-11-003,A6404-0135-00,82.54,3.03,26867.03,38.55,31.33,7.23,23.08,107Y12M
Sep-35,A6404-11-004,A6404-0130-00,86.62,2.62,145042.98,23.26,12.56,10.7,85.19,107Y12M
Sep-35,A6404-11-005,A6404-0133-00,88.02,2.5,95324.27,20.37,12.43,7.94,63.83,107Y12M
Sep-35,A6404-11-006,A6404-0142-00,94.5,2.82,62219.03,23.89,13.38,10.51,78.57,107Y12M
Sep-35,A6404-11-007,A6404-0149-00,95.48,2.6,71522.64,22.7,17.73,4.96,28,107Y12M
Oct-35,A6404-12-001,A6404-0127-00,91.3,2.51,42252.37,17.02,10.37,6.65,64.1,107Y12M
Oct-35,A6404-12-002,A6404-0131-00,96.7,2.61,31301.83,26.5,18.37,8.13,44.23,107Y12M
Oct-35,A6404-12-003,A6404-0134-00,106.27,2.6,43389.41,27.04,17.38,9.66,55.56,107Y12M
Oct-35,A6404-12-004,A6404-0132-00,95.5,2.49,16930.93,38.22,35.03,3.18,9.09,107Y12M
Oct-35,A6404-12-004,A6404-0143-00,106.62,3.02,26697.05,37.07,31.22,5.85,18.75,107Y12M
Oct-35,A6404-12-005,A6404-0141-00,97.94,2.58,56298.73,26.73,16.17,10.56,65.31,107Y12M
A6404-14,A6404-14-001,A6404-0158-00,123.81,2.94,112.86,62.07,48.28,13.79,28.57,107Y12M
A6404-15,A6404-15-001,A6404-0161-00,53.85,3.33,606.49,37.93,31.03,6.9,22.22,107Y12M
A6404-16,A6404-16-001,A6404-0144-00,87.22,2.74,23311.47,39.89,24.72,15.17,61.36,107Y12M
A6404-16,A6404-16-001,A6404-0150-00,96.46,2.81,38128.34,26.14,15.34,10.8,70.37,107Y12M
A6404-16,A6404-16-002,A6404-0153-00,93.27,2.54,36426.96,31.37,13.73,17.65,128.57,107Y12M
A6404-16,A6404-16-002,A6404-0159-00,96.94,2.68,18368.35,45.48,41.94,3.55,8.46,107Y12M
A6404-16,A6404-16-003,A6404-0170-00,82.61,2.77,8009.99,40.78,21.23,19.55,92.11,107Y12M
A6404-16,A6404-16-004,A6404-0189-00,91.01,2.9,13635.13,29.51,18.05,11.46,63.51,107Y12M
A6404-16,A6404-16-005,A6404-0180-00,60.71,2.5,9115.19,66.67,29.63,37.04,125,107Y12M
A6404-16,A6404-16-005,A6404-0188-00,126.09,2.74,11632.89,67.74,38.71,29.03,75,107Y12M
A6404-16,A6404-16-005,A6404-0202-00,142.86,3.58,10630.05,54.55,34.09,20.45,60,107Y12M
A6404-16,A6404-16-005,A6404-0209-00,105.26,2.44,14328.08,44.44,18.52,25.93,140,107Y12M
A6404-16,A6404-16-006,A6404-0196-00,101.98,2.76,20052.43,37.84,14.19,23.65,166.67,107Y12M
A6404-16,A6404-16-006,A6404-0222-00,89.41,2.48,25217.06,42.48,22.12,20.35,92,107Y12M
A6404-16,A6404-16-007,A6404-0220-00,110.53,2.45,14551.46,57.89,27.63,30.26,109.52,107Y12M
A6404-16,A6404-16-007,A6404-0224-00,113.11,2.77,16394.46,38.3,17.02,21.28,125,107Y12M
A6404-16,A6404-16-008,A6404-0216-00,78.81,2.72,140872.37,31.42,18.58,12.84,69.12,107Y12M
A6404-17,A6404-17-001,A6404-0190-00,127.27,2.27,739.96,8.7,4.35,4.35,100,107Y12M
A6404-18,A6404-18-001,A6404-0174-00,91.26,2.94,13957.12,36.81,27.78,9.03,32.5,107Y12M
A6404-18,A6404-18-001,A6404-0193-00,70.49,2.67,10486.62,31.65,29.11,2.53,8.7,107Y12M
A6404-18,A6404-18-002,A6404-0178-00,93.66,2.16,26868.79,31.02,23.43,7.59,32.39,107Y12M
A6404-18,A6404-18-002,A6404-0179-00,112,2.62,15520.65,26.95,22.75,4.19,18.42,107Y12M
A6404-18,A6404-18-003,A6404-0214-00,89.78,2.69,21368.96,22.57,12.85,9.72,75.68,107Y12M
A6404-18,A6404-18-004,A6404-0233-00,105.19,2.77,15216.22,27.06,12.39,14.68,118.52,107Y12M
A6404-18,A6404-18-004,A6404-0237-00,112.31,3.29,20933.51,43.75,20.83,22.92,110,107Y12M
A6404-18,A6404-18-005,A6404-0241-00,97.03,2.97,23462.49,29.22,15.58,13.64,87.5,107Y12M
A6404-18,A6404-18-005,A6404-0254-00,98.08,3.22,39682.14,30.38,20.25,10.13,50,107Y12M
A6404-18,A6404-18-006,A6404-0259-00,108.89,3.03,40012.96,25.33,17.33,8,46.15,107Y12M
A6404-18,A6404-18-006,A6404-0266-00,130.91,2.76,30158.99,30.93,17.53,13.4,76.47,107Y12M
A6404-18,A6404-18-007,A6404-0274-00,111.95,2.31,59041.42,29.62,13.85,15.77,113.89,107Y12M
A6404-19,A6404-19-001,A6404-0163-00,109.52,2.2,16593.93,29.41,11.76,17.65,150,107Y12M
A6404-19,A6404-19-001,A6404-0167-00,100,2.67,24280.42,33.33,18.06,15.28,84.62,107Y12M
A6404-19,A6404-19-001,A6404-0171-00,128.57,2.4,19787.72,33.33,22.22,11.11,50,107Y12M
A6404-19,A6404-19-001,A6404-0177-00,122.73,2.72,15654.44,36.11,13.89,22.22,160,107Y12M
A6404-19,A6404-19-001,A6404-0181-00,136.36,2.36,17925.18,20.93,6.98,13.95,200,107Y12M
A6404-19,A6404-19-001,A6404-0187-00,113.16,2.53,16188.96,24.62,16.92,7.69,45.45,107Y12M
A6404-19,A6404-19-002,A6404-0183-00,85.29,2.74,28703.33,27.27,8.08,19.19,237.5,107Y12M
A6404-19,A6404-19-002,A6404-0192-00,87.67,2.69,18768.24,48.91,25,23.91,95.65,107Y12M
A6404-19,A6404-19-002,A6404-0204-00,96.3,2.84,35436.18,44.55,18.18,26.36,145,107Y12M
A6404-19,A6404-19-003,A6404-0206-00,117.31,2.57,19362.17,32.94,12.94,20,154.55,107Y12M
A6404-19,A6404-19-003,A6404-0211-00,105.95,2.98,35112.5,50.43,22.61,27.83,123.08,107Y12M
A6404-19,A6404-19-003,A6404-0218-00,94.74,2.74,34412.59,43.69,11.65,32.04,275,107Y12M
A6404-19,A6404-19-004,A6404-0212-00,70,2.83,9860.29,36,16,20,125,107Y12M
A6404-19,A6404-19-004,A6404-0221-00,79.31,2.81,33723.64,44.44,15.28,29.17,190.91,107Y12M
A6404-19,A6404-19-004,A6404-0231-00,111.32,2.73,33040.22,69.7,30.3,39.39,130,107Y12M
A6404-19,A6404-19-004,A6404-0242-00,103.51,2.83,37435.77,43.21,18.52,24.69,133.33,107Y12M
A6404-19,A6404-19-005,A6404-0228-00,100,2.79,32093.6,39.29,16.96,22.32,131.58,107Y12M
A6404-19,A6404-19-005,A6404-0249-00,122.73,2.58,26388.27,34.25,16.44,17.81,108.33,107Y12M
A6404-19,A6404-19-006,A6404-0250-00,91.52,2.57,67968.02,21.54,10,11.54,115.38,107Y12M
A6404-19,A6404-19-007,A6404-0264-00,90.69,2.27,16924.47,34.6,25.95,8.65,33.33,107Y12M
A6404-19,A6404-19-007,A6404-0286-00,89.06,2.52,17858.86,30.11,19.35,10.75,55.56,107Y12M
A6404-19,A6404-19-008,A6404-0298-00,89.02,2.82,15474.08,44.19,19.07,25.12,131.71,107Y12M
A6404-20,A6404-20-001,A6404-0151-00,101.99,2.35,3874.02,28.15,24.79,3.36,13.56,107Y12M
A6404-20,A6404-20-001,A6404-0155-00,100,4,418.85,33.33,0,33.33,0,107Y12M
A6404-20,A6404-20-001,A6404-0169-00,100,2.78,1625.82,20.75,13.21,7.55,57.14,107Y12M
A6404-20,A6404-20-002,A6404-0184-00,108.72,2.56,13508.36,33.96,25,8.96,35.82,107Y12M
A6404-20,A6404-20-003,A6404-0182-00,97.03,2.21,9033.31,31.79,24.5,7.28,29.73,107Y12M
A6404-20,A6404-20-003,A6404-0213-00,75.68,2.41,3825.9,38.3,21.28,17.02,80,107Y12M
A6404-20,A6404-20-003,A6404-0219-00,93.75,2.46,7196.43,44.86,36.45,8.41,23.08,107Y12M
A6404-20,A6404-20-004,A6404-0191-00,98.92,2.5,10496.24,38.06,26.87,11.19,41.67,107Y12M
A6404-20,A6404-20-004,A6404-0195-00,60,4,1324.7,33.33,33.33,0,0,107Y12M
A6404-20,A6404-20-004,A6404-0201-00,67.74,2,4143.71,18.18,13.64,4.55,33.33,107Y12M
A6404-20,A6404-20-004,A6404-0226-00,104.44,3,10467.79,35.29,23.04,12.25,53.19,107Y12M
A6404-20,A6404-20-004,A6404-0234-00,115.7,2.58,13634.35,33.16,27.04,6.12,22.64,107Y12M
A6404-20,A6404-20-005,A6404-0198-00,114.29,2.73,3125.53,40.63,18.75,21.88,116.67,107Y12M
A6404-20,A6404-20-005,A6404-0208-00,97.33,2.62,3827.06,26.5,17.09,9.4,55,107Y12M
A6404-20,A6404-20-005,A6404-0244-00,87.72,2.55,6664.6,35.44,31.65,3.8,12,107Y12M
A6404-20,A6404-20-006,A6404-0323-00,105.75,2.21,5164.74,25.61,18.6,7.02,37.74,107Y12M
A6404-20,A6404-20-007,A6404-0248-00,0,1,58.66,0,0,0,0,107Y12M
A6404-20,A6404-20-007,A6404-0253-00,84.83,2.11,15250.5,39.41,29.24,10.17,34.78,107Y12M
A6404-20,A6404-20-007,A6404-0294-00,66.67,5,216.17,150,150,0,0,107Y12M
A6404-20,A6404-20-007,A6404-0305-00,77.3,1.96,9970.94,40.17,34.62,5.56,16.05,107Y12M
A6404-20,A6404-20-007,A6404-0355-00,121.28,2.67,5199.76,28.4,23.46,4.94,21.05,107Y12M
A6404-20,A6404-20-007,A6404-0360-00,0,1,41.28,0,0,0,0,107Y12M
A6404-20,A6404-20-007,A6404-0417-00,123.81,2.61,2006.99,38.24,14.71,23.53,160,107Y12M
A6404-20,A6404-20-007,A6404-0434-00,175,1.83,925.38,22.22,5.56,16.67,300,107Y12M
A6404-20,A6404-20-008,A6404-0283-00,75.32,2.45,5815.58,35,26,9,34.62,107Y12M
A6404-20,A6404-20-008,A6404-0328-00,108.33,3.13,1987.27,31.58,26.32,5.26,20,107Y12M
A6404-20,A6404-20-008,A6404-0372-00,133.33,2.1,1693.95,10.53,5.26,5.26,100,107Y12M
A6404-20,A6404-20-008,A6404-0385-00,119.05,2.16,12686.8,33.33,28.99,4.35,15,107Y12M
A6404-20,A6404-20-008,A6404-0442-00,81.68,2.44,11093.96,35.55,30.86,4.69,15.19,107Y12M
A6404-20,A6404-20-009,A6404-0401-00,98.9,2.62,3620.9,41.41,34.38,7.03,20.45,107Y12M
A6404-21,A6404-21-001,A6404-0223-00,86.17,2.42,71541.53,30.77,15.79,14.98,94.87,107Y12M
A6404-21,A6404-21-002,A6404-0247-00,89.42,2.39,38791.52,24.16,11.96,12.2,102,107Y12M
A6404-21,A6404-21-003,A6404-0262-00,92.31,2.08,2870.39,16.28,6.98,9.3,133.33,107Y12M
A6404-21,A6404-21-003,A6404-0282-00,94.07,2.2,31048.17,30.86,12.57,18.29,145.45,107Y12M
A6404-21,A6404-21-004,A6404-0276-00,85.25,2.15,54032.87,28.85,16.99,11.86,69.81,107Y12M
A6404-21,A6404-21-005,A6404-0297-00,107.56,2.81,55795.67,28.65,16.67,11.98,71.88,107Y12M
A6404-21,A6404-21-005,A6404-0307-00,80.26,1.96,29829.52,33.01,11.65,21.36,183.33,107Y12M
A6404-21,A6404-21-006,A6404-0310-00,86.41,2.3,86681.82,14.63,6.87,7.76,113.04,107Y12M
A6404-21,A6404-21-007,A6404-0320-00,87.32,2.38,42215.48,36.64,11.64,25,214.71,107Y12M
A6404-22,A6404-22-002,A6404-0166-00,100,1.99,42235.94,33.58,20.75,12.83,61.82,107Y12M
A6404-22,A6404-22-003,A6404-0157-00,69.57,2.69,758.09,36.84,24.56,12.28,50,107Y12M
A6404-22,A6404-22-006,A6404-0215-00,70.59,4.14,6520.86,38.1,9.52,28.57,300,107Y12M
A6404-22,A6404-22-006,A6404-0243-00,63.16,7.75,1288.62,158.33,33.33,125,375,107Y12M
A6404-22,A6404-22-007,A6404-0265-00,96.3,2.61,2827.62,39.47,26.32,13.16,50,107Y12M
A6404-22,A6404-22-007,A6404-0303-00,83.82,2.34,18964.62,32.28,17.99,14.29,79.41,107Y12M
A6404-22,A6404-22-008,A6404-0426-00,105.77,1.3,592.71,13.83,8.51,5.32,62.5,107Y12M
A6404-23,A6404-23-001,A6404-0263-00,89.86,2.67,22108.12,23.58,12.74,10.85,85.19,107Y12M
A6404-23,A6404-23-001,A6404-0270-00,88.98,2.5,9234.12,20,8,12,150,107Y12M
A6404-23,A6404-23-002,A6404-0273-00,96.88,2.52,26351.76,16.67,8.64,8.02,92.86,107Y12M
A6404-23,A6404-23-002,A6404-0280-00,77.83,2.35,96690.96,19.82,11.28,8.54,75.68,107Y12M
A6404-23,A6404-23-003,A6404-0269-00,92.05,2.07,10781.41,26.75,19.75,7,35.44,107Y12M
A6404-23,A6404-23-003,A6404-0327-00,94.26,2.49,15908.24,28.11,15.68,12.43,79.31,107Y12M
A6404-23,A6404-23-004,A6404-0278-00,116.28,2.58,16956.32,30.99,11.27,19.72,175,107Y12M
A6404-23,A6404-23-004,A6404-0289-00,103.23,2.63,13089.62,31.25,12.5,18.75,150,107Y12M
A6404-23,A6404-23-004,A6404-0292-00,98.65,2.13,26921.47,22.5,8.33,14.17,170,107Y12M
A6404-23,A6404-23-004,A6404-0304-00,85.26,2.71,36027.29,30.37,15.56,14.81,95.24,107Y12M
A6404-23,A6404-23-005,A6404-0252-00,97.72,1.8,2568.37,25.51,19.71,5.8,29.41,107Y12M
A6404-23,A6404-23-005,A6404-0393-00,100.89,2.06,19524.07,29.11,21.12,7.99,37.84,107Y12M
A6404-23,A6404-23-006,A6404-0261-00,76.42,2.41,7206.55,32.32,16.46,15.85,96.3,107Y12M
A6404-23,A6404-23-006,A6404-0300-00,85.88,2.59,1913.38,22.48,13.95,8.53,61.11,107Y12M
A6404-23,A6404-23-007,A6404-0313-00,74.19,2.16,8925.82,20,8.89,11.11,125,107Y12M
A6404-23,A6404-23-007,A6404-0334-00,94.23,2.85,31287.68,27.04,18.24,8.81,48.28,107Y12M
A6404-23,A6404-23-007,A6404-0336-00,101.61,2.4,14250.04,23.76,8.91,14.85,166.67,107Y12M
A6404-25,A6404-25-001,A6404-0230-00,66.18,2.69,124754.99,32.16,14.62,17.54,120,107Y12M
A6404-25,A6404-25-002,A6404-0236-00,76.92,2.3,20622.35,41.54,21.54,20,92.86,107Y12M
A6404-25,A6404-25-002,A6404-0245-00,90.85,2.63,117913.53,24.21,13.1,11.11,84.85,107Y12M
A6404-25,A6404-25-003,A6404-0246-00,101.39,3.02,26630.95,49.48,24.74,24.74,100,107Y12M
A6404-25,A6404-25-003,A6404-0257-00,105,2.73,4459.76,51.85,18.52,33.33,180,107Y12M
A6404-25,A6404-25-003,A6404-0277-00,97.3,2.52,6421.93,55.32,10.64,44.68,420,107Y12M
A6404-25,A6404-25-004,A6404-0251-00,93.81,2.39,25092.31,46.3,24.9,21.4,85.94,107Y12M
A6404-25,A6404-25-004,A6404-0267-00,91.47,2.67,17039.89,43.6,21.22,22.38,105.48,107Y12M
A6404-25,A6404-25-004,A6404-0301-00,115.91,2.52,12621.84,50.79,12.7,38.1,300,107Y12M
A6404-25,A6404-25-005,A6404-0275-00,100.7,2.52,14431.64,44.95,19.19,25.76,134.21,107Y12M
A6404-25,A6404-25-006,A6404-0312-00,80.77,2.47,14609.54,32.39,14.08,18.31,130,107Y12M
A6404-25,A6404-25-006,A6404-0319-00,102.13,2.44,26897.29,26.67,6.67,20,300,107Y12M
A6404-25,A6404-25-006,A6404-0349-00,113.33,3.2,12757.92,33.33,12.5,20.83,166.67,107Y12M
A6404-25,A6404-25-006,A6404-0352-00,93.33,2.23,7366.77,31.82,4.55,27.27,600,107Y12M
A6404-25,A6404-25-007,A6404-0325-00,100,2.58,16285.99,55.34,28.16,27.18,96.55,107Y12M
A6404-25,A6404-25-007,A6404-0337-00,103.85,1.96,8089.15,51.43,11.43,40,350,107Y12M
A6404-25,A6404-25-007,A6404-0359-00,107.14,3.22,34889.14,38.1,11.11,26.98,242.86,107Y12M
A6404-25,A6404-25-008,A6404-0371-00,98,2.83,30037.29,54.69,26.56,28.13,105.88,107Y12M
A6404-25,A6404-25-008,A6404-0377-00,103.77,3,23508.57,52.11,36.62,15.49,42.31,107Y12M
A6404-25,A6404-25-008,A6404-0392-00,78.46,2.64,38871.49,34.88,11.63,23.26,200,107Y12M
A6404-25,A6404-25-008,A6404-0400-00,143.48,2.43,15355.74,36.59,14.63,21.95,150,107Y12M
A6404-26,A6404-26-001,A6404-0227-00,100.37,2.87,4962.23,43.8,30.61,13.19,43.1,107Y12M
A6404-26,A6404-26-002,A6404-0199-00,107.41,2.23,3244.76,29.73,23.55,6.18,26.23,107Y12M
A6404-26,A6404-26-002,A6404-0258-00,95.69,2.14,7797.44,30.05,27.03,3.02,11.18,107Y12M
A6404-26,A6404-26-002,A6404-0382-00,89.64,2.11,6294.98,37.03,34.4,2.64,7.66,107Y12M
A6404-26,A6404-26-004,A6404-0343-00,111.36,2.82,2701.84,34.78,28.99,5.8,20,107Y12M
A6404-26,A6404-26-004,A6404-0419-00,93.69,2.96,7937.57,34.8,19.59,15.2,77.59,107Y12M
A6404-26,A6404-26-005,A6404-0284-00,92.45,1.93,11170.52,33.26,26.99,6.28,23.26,107Y12M
A6404-26,A6404-26-005,A6404-0316-00,103.92,2.04,9488.44,34.19,27.74,6.45,23.26,107Y12M
A6404-26,A6404-26-005,A6404-0384-00,87.93,2.22,13558.97,38.66,29.58,9.08,30.68,107Y12M
A6404-26,A6404-26-005,A6404-0395-00,114.9,2.04,12032.21,33.83,25.75,8.08,31.4,107Y12M
A6404-26,A6404-26-006,A6404-0388-00,96.08,2.94,6250.87,36.99,21.92,15.07,68.75,107Y12M
A6404-26,A6404-26-006,A6404-0422-00,115.73,2.74,6460.76,42.22,31.11,11.11,35.71,107Y12M
A6404-26,A6404-26-006,A6404-0449-00,0,1,29.08,0,0,0,0,107Y12M
A6404-26,A6404-26-007,A6404-0441-00,88.52,2.56,3820.05,33.72,22.09,11.63,52.63,107Y12M
A6404-26,A6404-26-008,A6404-0465-00,99.38,3.09,9864.85,40.17,32.75,7.42,22.67,107Y12M
A6404-26,A6404-26-008,A6404-0520-00,92,3.12,5158.27,33.33,26.11,7.22,27.66,107Y12M
A6404-27,A6404-27-001,A6404-0255-00,88.03,2.82,12300.14,46.67,22,24.67,112.12,107Y12M
